model_name,pseudo_r2,aic,bic,sample_n,delay_odds_ratio
Model A (Distance Only),0.08844361822489555,66553.2452286231,66591.10638316492,95348,1.0786188522519586
Model B (State Fixed Effects),0.09312487100589895,66303.50540811697,66776.76983988969,95348,1.0768721129030878
Model C (Distance + Interstate),0.09086570051033516,66378.42889244144,66425.75533561871,95348,1.0790658877636905
Model D (Top Corridors),0.09463859809876218,66235.00062463047,66907.03611774775,95348,1.0770410754498385
