model,survey_timing_coef,std_error,odds_ratio,ci_lower_95,ci_upper_95,p_value,pseudo_r2,aic
Model A (Bivariate Timing),2.268023219285878,0.02501660834604271,9.660285660677243,9.198042290752703,10.145758857806861,0.0,0.10304210133995118,65789.8101260452
Model B (+ Continuous Delay),1.696909835708656,0.030965721174592876,5.45705810374172,5.135704461588666,5.7985196325727175,0.0,0.11798773307603139,64695.64887580996
Model C (+ Transit Duration),1.4214978876570383,0.03260451657532911,4.143322025373906,3.8868265787531775,4.41674385468863,0.0,0.1331954670946689,63582.26419154323
Model D (+ Full Commercial & Spatial),1.401740164669345,0.032891788972149436,4.062262826040829,3.8086403361111105,4.33277437918512,0.0,0.13761193456264842,62969.87025019032
