dominant_category,orders,gmv,low_reviews,low_review_rate,late_orders,late_rate,severe_late_orders,severe_late_rate,mean_transit_days,order_share_pct,dissatisfaction_share_pct
bed_bath_table,9112,1220785.76,1443,15.836259877085162,786,8.625987708516242,521,5.717734855136084,12.961016242317822,9.509100016697278,11.758474576271187
health_beauty,8568,1403688.54,972,11.344537815126051,755,8.81185807656396,507,5.917366946778711,12.061098272642392,8.94139255301386,7.920469361147327
computers_accessories,6481,1029860.92,941,14.519364295633391,493,7.606850794630458,315,4.860361055392686,13.148197808980095,6.763441309066621,7.667861799217731
furniture_decor,6144,869692.43,913,14.860026041666666,524,8.528645833333332,333,5.419921875,13.0848828125,6.411754883953916,7.439700130378096
sports_leisure,7447,1110322.57,835,11.212568819658923,574,7.7078017993823025,392,5.263864643480596,12.23261447562777,7.771539489063282,6.804106910039113
watches_gifts,5435,1257377.66,741,13.633854645814166,455,8.371665133394664,306,5.63017479300828,12.76615087396504,5.671856737351812,6.038135593220339
housewares,5646,752851.0,651,11.53028692879915,389,6.8898335104498765,233,4.126815444562522,11.092628409493447,5.892052095508432,5.304758800521513
telephony,4049,376232.85,564,13.929365275376638,344,8.495924919733268,212,5.235860706347246,12.96481847369721,4.225455000834864,4.595827900912647
auto,3773,661152.01,484,12.82798833819242,323,8.560826928173867,214,5.6718791412668965,12.267935329976146,3.9374269494072465,3.94393741851369
toys,3758,543099.4,425,11.309207025013306,275,7.317722192655668,185,4.922831293241086,11.661399680681214,3.9217732509600935,3.4631681877444587
garden_tools,3388,561694.07,402,11.865407319952775,269,7.9397874852420305,170,5.017709563164108,13.619161747343567,3.53564868926365,3.2757496740547585
cool_stuff,3500,683853.71,381,10.885714285714286,235,6.714285714285714,160,4.571428571428571,12.361274285714286,3.65252963766906,3.1046284224250327
baby,2735,463168.92,376,13.747714808043876,248,9.06764168190128,176,6.435100548446069,12.630610603290677,2.854191016864251,3.0638852672750976
perfumery,3060,440631.13,355,11.601307189542483,226,7.38562091503268,158,5.163398692810457,11.909996732026142,3.193354483219235,2.8927640156453718
electronics,2484,196641.2,324,13.043478260869565,245,9.863123993558776,138,5.555555555555555,12.927012882447665,2.5922524628485557,2.640156453715776
office_furniture,1241,332525.95,272,21.91780821917808,112,9.024979854955681,79,6.365834004834811,20.609435938759066,1.2950826515278009,2.216427640156454
unknown,1344,194271.54,221,16.44345238095238,119,8.854166666666668,76,5.654761904761905,12.750029761904763,1.402571380864919,1.8008474576271187
stationery,2230,267840.98,216,9.686098654708521,173,7.757847533632287,110,4.932735426008969,12.797650224215246,2.3271831691434297,1.7601043024771839
fashion_bags_accessories,1803,178958.96,182,10.0942872989462,119,6.600110926234054,72,3.9933444259567388,11.211564059900168,1.8815745533478045,1.4830508474576272
