survey_timing_partition,orders,gmv,mean_review_score,low_reviews,low_review_rate,severe_late_orders,severe_late_rate,order_share_pct,dissatisfaction_share_pct
1. Strict Calendar Pre-Delivery,4976,884816.45,1.9344855305466238,3613,72.60852090032154,4671,93.87057877813506,5.192853564868926,29.441003911342893
2. Same-Day Delivery Ambiguous,3164,507181.22,4.079013906447535,452,14.285714285714285,115,3.6346396965865995,3.30188679245283,3.6831812255541068
3. Clearly Post-Delivery,87684,13897976.72,4.284715569545185,8207,9.359746361936043,175,0.19958031111719357,91.50525964267824,66.875814863103
Subgroup: Answered Pre-Delivery (Def B),4653,826504.0800000001,1.7414571244358479,3643,78.29357403825489,4272,91.81173436492585,4.855777258306896,29.685462842242504
Subgroup: Overdue in Transit Survey,5335,947687.51,1.982755388940956,3782,70.89034676663543,4742,88.88472352389878,5.567498747704124,30.818122555410692
