delay_stratum,survey_post_delivery_orders,survey_post_mean_score,survey_post_low_rate_pct,survey_pre_delivery_orders,survey_pre_mean_score,survey_pre_low_rate_pct,within_stratum_odds_ratio,within_stratum_p_value
> 5d Early,77034,4.310369447257055,8.998623984214763,2318,4.295513373597929,9.620362381363243,1.0764470953428313,0.3032464167050163
0-5d Early,8387,4.149278645522833,11.124359127220698,425,4.195294117647059,9.88235294117647,0.87610924080495,0.426173075443555
1-3d Late,2073,3.9107573564881815,15.147129763627593,561,3.2192513368983957,34.22459893048128,2.914815390192119,4.0640673586052333e-23
4-7d Late,183,3.92896174863388,15.300546448087433,1590,2.130188679245283,66.60377358490565,11.040153349475407,1.0235992158828105e-29
> 7d Late,2,3.5,0.0,3208,1.7094763092269327,78.99002493765586,,
