seller_cohort,qualified_sellers,total_orders,total_gmv,total_low_reviews,mean_low_review_rate,mean_late_rate,mean_handling_days,mean_carrier_days,order_share_pct,dissatisfaction_share_pct
Mid-Volume / Standard-Performing,128,32083,4323648.38,3567,10.320957314416878,6.819560545782526,2.3072583267393774,9.073433498728885,33.48117381866756,29.066166883963497
"High-Volume / High-Risk (N>=300, Low>=15%)",15,9335,1191861.53,1611,17.584733961335875,10.386330533875698,2.946766828970582,10.461604593796427,9.74181833361162,13.127444589308995
"Mid-Volume / Elevated-Risk (100<=N<300, Low>=15%)",36,5491,767484.46,1057,19.258082394389316,8.542497915840222,2.8326562503158863,9.711308606951139,5.730297211554516,8.613102998696219
Warehouse Bottleneck (Handling > 5d),12,3481,531753.03,738,23.418951404029404,11.860584106121733,6.9331549647801936,8.741459010333868,3.6327016196359994,6.013689700130378
"High-Volume / High-Performing (N>=300, Low<10%)",13,6821,1147275.56,605,8.488164438884752,5.909163208379581,1.869368061402808,9.374734627548559,7.118258473868759,4.929921773142112
