top_category,order_count,mean_gmv,mean_freight_share,mean_transit_duration,late_delivery_rate,mean_review_score,low_review_rate
other,20244,183.70491108476585,20.991737621023514,12.553710235131398,7.478759138510176,4.179658170322071,12.176447342422446
bed_bath_table,9112,133.97561018437224,19.861500175592624,12.961016242317822,8.625987708516242,4.006913959613696,15.836259877085162
health_beauty,8568,163.82919467787116,19.39214402427638,12.061098272642392,8.81185807656396,4.232843137254902,11.344537815126051
sports_leisure,7447,149.0966254867732,19.875318839801263,12.23261447562777,7.7078017993823025,4.234725392775615,11.212568819658923
computers_accessories,6481,158.90463200123438,20.565964820243792,13.148197808980095,7.606850794630458,4.082548989353495,14.519364295633391
furniture_decor,6144,141.55150227864584,22.31014537760417,13.0848828125,8.528645833333332,4.077473958333333,14.860026041666666
housewares,5646,133.34236627701029,24.33281386822529,11.092628409493447,6.8898335104498765,4.2049238398866455,11.53028692879915
watches_gifts,5435,231.34823551057957,12.818675565777367,12.76615087396504,8.371665133394664,4.122907083716651,13.633854645814166
telephony,4049,92.91994319585082,30.218936972091875,12.96481847369721,8.495924919733268,4.059273894788837,13.929365275376638
auto,3773,175.2324436787702,21.28467853167241,12.267935329976146,8.560826928173867,4.152398621786377,12.82798833819242
toys,3758,144.51820117083557,18.81283211814795,11.661399680681214,7.317722192655668,4.240021287919106,11.309207025013306
cool_stuff,3500,195.38677428571427,15.85909042857143,12.361274285714286,6.714285714285714,4.230857142857142,10.885714285714286
garden_tools,3388,165.78927685950413,22.792247432113342,13.619161747343567,7.9397874852420305,4.195100354191263,11.865407319952775
perfumery,3060,143.99710130718955,17.71438441176471,11.909996732026142,7.38562091503268,4.2669934640522875,11.601307189542483
baby,2735,169.34878244972577,20.151094625228517,12.630610603290677,9.06764168190128,4.121755027422304,13.747714808043876
electronics,2484,79.16312399355878,36.141463325281805,12.927012882447665,9.863123993558776,4.12962962962963,13.043478260869565
