sample_filter,qualified_seller_count,total_volume_represented,spearman_corr_late_rate_vs_score,p_val_late_rate,spearman_corr_handling_days_vs_score,p_val_handling_days
Sellers with N >= 100 Orders,204,57211,-0.4326010910329706,1.0356817266271357e-10,-0.4333527103368645,9.536120488211155e-11
Sellers with N >= 50 Orders,413,71938,-0.47014976034911515,4.2185377823914274e-24,-0.4643383594201953,1.7803212974112054e-23
