model,fulfillment_stage,parameter,coefficient,std_error,p_value,odds_ratio,ci_lower_95,ci_upper_95,pseudo_r2,aic
Model A (Seller Handling Only),Seller Handling,seller_handling_days,0.09645074632900799,0.002341192599248255,0.0,1.101255338939849,1.0962135438589535,1.106320322657466,0.021651131799202195,71417.43948863543
Model B (Carrier Transit Only),Carrier Transit,carrier_transit_days,0.0831478864257733,0.0010771415877782735,0.0,1.0867025052148924,1.0844106816868655,1.0889991723461523,0.08895723783018772,66504.50844073754
Model C (Joint Unstandardized),Seller Handling,seller_handling_days,0.10055055017642486,0.0024635862744378867,0.0,1.1057795376420056,1.1004530086564026,1.1111318486562924,0.11005256729351653,64966.67936433382
Model C (Joint Unstandardized),Carrier Transit,carrier_transit_days,0.08378095279027561,0.0010887175583782047,0.0,1.0873906778256475,1.0850727835721343,1.089713523483206,0.11005256729351653,64966.67936433382
Model D (Joint Standardized Z-Scores),Seller Handling,seller_z,0.32039588035482386,0.008128245536268805,0.0,1.3776730500907777,1.3558987506981937,1.3997970216943538,0.12022711656967267,64229.99995551194
Model D (Joint Standardized Z-Scores),Carrier Transit,carrier_z,0.7863466070673854,0.010343268639724828,0.0,2.1953612401079687,2.1513032053512338,2.240321570004597,0.12022711656967267,64229.99995551194
