customer_state,order_count,total_gmv,mean_freight,freight_share_pct,mean_distance_km,mean_delivery_duration,late_delivery_rate,mean_review_score,low_review_rate,late_delivery_rate_pct,low_review_rate_pct,order_share_pct
SP,41746,5921678.12,17.370950332326284,18.18709735589124,249.09604291414794,8.761326089640697,0.058945548833189254,4.173297646604938,0.12556891678244622,5.894554883318925,12.556891678244622,41.980671956235355
RJ,12852,2129681.98,23.945252311549915,21.32422653189155,487.39507354104967,15.310054237836964,0.1347041204565692,3.877433593442106,0.2042483660130719,13.470412045656921,20.424836601307188,12.924246538148248
MG,11635,1856161.49,23.462704435204436,21.523947496534998,531.9551601098717,12.010228974020254,0.056186701893438995,4.135364375973689,0.13218736570691877,5.6186701893438995,13.218736570691878,11.700405265433774
RS,5466,885826.76,24.948958026509573,22.45656410162003,863.3264335762206,15.300260104790418,0.07148203592814373,4.132279992651111,0.1331869740212221,7.148203592814372,13.31869740212221,5.496726702265665
PR,5045,800935.44,23.579767907162864,22.240864965986393,485.4369144486126,11.99157830591103,0.0499695307739183,4.181311018131102,0.12388503468780972,4.99695307739183,12.388503468780971,5.073360082863205
SC,3637,610213.6,24.82288482834994,22.086244573643413,573.1216390154844,14.959317733295743,0.09754722300535668,4.073981712385702,0.14517459444597194,9.754722300535668,14.517459444597195,3.657445118210798
BA,3380,611506.67,29.82628945801072,24.400114383561643,1343.9688838336695,19.335423832923833,0.14035626535626533,3.8616766467065866,0.18668639053254438,14.035626535626534,18.668639053254438,3.399000412304784
DF,2140,353229.44,23.823764705882354,22.146357976470586,836.6719699476586,12.967620192307693,0.0706730769230769,4.06390977443609,0.15,7.06730769230769,15.0,2.1520298468438575
ES,2033,324801.91,24.57511111111111,22.76508202469136,800.2312074707878,15.789298245614036,0.12230576441102758,4.037387836490528,0.14756517461878996,12.230576441102759,14.756517461878996,2.0444283545016644
GO,2020,347706.93,26.4648629795715,22.644289985052314,776.8327656142527,15.606274910577413,0.08175779253960147,4.044843049327354,0.14653465346534653,8.175779253960147,14.653465346534652,2.0313552759927997
PE,1652,322237.69,36.07382281553398,26.43946219660194,1969.991336853015,18.448349026993096,0.10797237915881985,4.008562691131498,0.16585956416464892,10.797237915881986,16.585956416464892,1.661286592049557
CE,1336,275606.3,36.43676714393368,26.21708553127355,2188.182022832397,21.266575449569977,0.1532447224394058,3.856711915535445,0.19535928143712575,15.32447224394058,19.535928143712574,1.3435102221417725
PA,975,217647.11,39.89618556701031,27.483170721649483,2282.071376301054,23.77297040169133,0.12367864693446085,3.8503118503118503,0.19282051282051282,12.367864693446084,19.28205128205128,0.9804808881648414
MT,907,186168.96,32.90745293466224,24.204496013289035,1351.9368587082083,18.055801354401808,0.06772009029345372,4.101111111111111,0.13671444321940462,6.772009029345371,13.671444321940463,0.9120986313492422
MA,747,151171.99,42.59968918918919,29.933066621621624,2100.686206918331,21.573138075313807,0.19665271966527198,3.757412398921833,0.21686746987951808,19.665271966527197,21.686746987951807,0.7511992035478323
MS,715,135956.67,27.00145275035261,22.383198166431594,846.3957144217151,15.618330955777461,0.11554921540656204,4.110799438990182,0.14545454545454545,11.554921540656204,14.545454545454545,0.7190193179875505
PB,536,140987.81,48.34535714285714,28.147999812030076,2087.607183799611,20.426615087040616,0.11025145067698261,4.016981132075472,0.16417910447761194,11.025145067698261,16.417910447761194,0.5390130831347232
PI,495,108132.28,43.03894523326572,28.50297910750507,1958.3375725418182,19.457100840336135,0.15966386554621848,3.9183673469387754,0.18181818181818182,15.966386554621847,18.181818181818183,0.4977826047606118
RN,485,101895.08,39.12883817427386,28.142552489626556,2105.3126643368855,19.278417721518984,0.10759493670886078,4.10625,0.1402061855670103,10.759493670886078,14.02061855670103,0.4877263905230237
AL,413,96229.4,38.7216301703163,26.971130413625303,1832.5212509350165,24.544005037783375,0.23929471032745597,3.7560975609756095,0.23728813559322035,23.929471032745596,23.728813559322035,0.41532164801238924
SE,350,73032.32,40.902811594202895,27.746585217391306,1644.9219012530505,21.519701492537315,0.15223880597014927,3.8080229226361033,0.21714285714285714,15.223880597014928,21.714285714285715,0.3519674983155841
TO,280,61354.42,42.0526164874552,28.26204157706093,1486.3513882083091,17.657883211678833,0.12773722627737227,4.096774193548387,0.1357142857142857,12.773722627737227,13.571428571428571,0.2815739986524673
RO,253,57558.020000000004,46.22421052631579,31.137551012145746,2225.4653842055036,19.372139917695474,0.028806584362139898,4.051587301587301,0.1541501976284585,2.8806584362139898,15.41501976284585,0.2544222202109794
AM,148,27835.73,37.27136054421769,29.505583673469392,2643.9908687607235,26.425862068965518,0.04137931034482756,4.205479452054795,0.14189189189189189,4.137931034482756,14.18918918918919,0.14883197071630413
AC,81,19669.7,45.51543209876543,28.929212345679012,2660.3711078056754,21.035249999999998,0.03749999999999998,4.049382716049383,0.16049382716049382,3.749999999999998,16.049382716049383,0.08145533532446375
AP,68,16262.8,41.00735294117647,24.821404411764707,2598.4736313673716,27.185223880597015,0.04477611940298509,4.1940298507462686,0.07352941176470588,4.477611940298509,7.352941176470589,0.0683822568155992
RR,46,10064.62,48.59108695652174,33.234760869565214,3245.4140733045224,29.38682926829268,0.12195121951219512,3.608695652173913,0.2391304347826087,12.195121951219512,23.91304347826087,0.04625858549290534
