purchase_year_month,total_orders,delivered_orders,total_gmv,avg_review_score,low_review_orders,review_count,eligible_orders,late_orders,severe_late_orders,avg_delivery_days,median_delivery_days,avg_delay_days,aov,low_review_rate_pct,late_rate_pct,severe_late_rate_pct,is_standard_window
2016-09,4,1,354.75,1.0,4,4,1.0,1.0,1.0,54.81,54.81,36.32,88.6875,100.0,100.0,100.0,False
2016-10,324,265,56808.84,3.561128526645768,93,319,265.0,3.0,1.0,19.600528301886794,17.94,-36.076188679245284,175.33592592592592,29.153605015673982,1.1320754716981132,0.37735849056603776,False
2016-12,1,1,19.62,5.0,0,1,1.0,0.0,0.0,4.69,4.69,-21.34,19.62,0.0,0.0,0.0,False
2017-01,800,750,137188.49,4.0620253164556965,123,790,750.0,23.0,16.0,12.647,10.735,-26.861720000000002,171.4856125,15.569620253164556,3.0666666666666664,2.1333333333333333,True
2017-02,1780,1653,286280.62,4.016402714932127,286,1768,1653.0,53.0,34.0,13.168777979431338,10.97,-18.68012704174229,160.83180898876404,16.176470588235293,3.2062915910465817,2.05686630369026,True
2017-03,2682,2546,432048.59,4.074032318677189,377,2661,2546.0,142.0,71.0,12.951229379418697,10.13,-11.781300078554596,161.09194258016407,14.167606163096579,5.577376276512176,2.788688138256088,True
2017-04,2404,2303,412422.24,4.043988269794721,369,2387,2303.0,181.0,64.0,14.917794181502389,12.75,-12.431810681719496,171.55667221297836,15.458734813573525,7.859313938341293,2.7789839339991316,True
2017-05,3700,3546,586190.95,4.1402073104200765,468,3666,3545.0,128.0,52.0,11.322332863187588,9.79,-12.962394922425952,158.42998648648648,12.76595744680851,3.6107193229901267,1.466854724964739,True
2017-06,3245,3135,502963.04,4.1469857054070856,410,3218,3135.0,121.0,49.0,12.011617224880382,10.8,-12.010271132376394,154.99631432973806,12.7408328154133,3.8596491228070176,1.562998405103668,True
2017-07,4026,3872,584971.62,4.176441102756892,487,3990,3872.0,133.0,64.0,11.592768595041322,10.16,-11.724553202479338,145.2984649776453,12.205513784461154,3.4349173553719003,1.6528925619834711,True
2017-08,4331,4193,668204.6,4.238715681712424,488,4298,4193.0,139.0,52.0,11.147181015979012,9.77,-12.3333865967088,154.2841376125606,11.354118194509075,3.315048891008824,1.2401621750536609,True
2017-09,4285,4150,720398.91,4.188191013879087,529,4251,4150.0,216.0,89.0,11.851045783132529,10.315000000000001,-10.586407228915661,168.1210991831972,12.444130792754645,5.204819277108434,2.144578313253012,True
2017-10,4631,4478,769312.37,4.123448726322665,608,4593,4478.0,237.0,89.0,11.85667262170612,10.26,-11.162838320678874,166.1222997192831,13.237535379925975,5.2925413130862,1.9874944171505136,True
2017-11,7544,7289,1179143.77,3.9106951871657754,1404,7480,7288.0,1043.0,501.0,15.161111416026344,12.7,-7.399606201975851,156.30219644750795,18.77005347593583,14.31119648737651,6.874313940724479,True
2017-12,5673,5513,863547.23,4.0178189593727724,920,5612,5513.0,462.0,209.0,15.394872120442589,13.14,-12.286413930709232,152.2205587872378,16.39344262295082,8.380192272809722,3.7910393615091604,True
2018-01,7269,7069,1107301.89,4.041105402027497,1117,7201,7069.0,464.0,213.0,14.080510680435706,11.83,-12.222095062950913,152.33208006603383,15.51173448132204,6.563870420144292,3.013156033385203,True
2018-02,6728,6555,986908.96,3.825689448441247,1394,6672,6555.0,1048.0,548.0,16.945118230358506,14.26,-7.583913043478261,146.6868252080856,20.89328537170264,15.987795575896262,8.360030511060259,True
2018-03,7211,7003,1155126.82,3.7529378847229995,1629,7148,7003.0,1496.0,729.0,16.301382264743683,13.37,-5.731662144795088,160.18954652614062,22.78959149412423,21.362273311437953,10.409824360988148,True
2018-04,6939,6798,1159698.04,4.162138602353625,894,6883,6798.0,361.0,159.0,11.499180641365106,9.315000000000001,-12.180236834363049,167.1275457558726,12.988522446607584,5.310385407472786,2.3389232127096204,True
2018-05,6873,6749,1149781.82,4.194180435736219,814,6839,6749.0,556.0,188.0,11.41900577863387,9.15,-11.472441843236034,167.28965808235125,11.90232490130136,8.238257519632539,2.7855978663505705,True
2018-06,6167,6099,1022677.11,4.2774792379091355,662,6141,6096.0,83.0,40.0,9.239258530183726,7.96,-18.53353346456693,165.8305675368899,10.780003256798567,1.3615485564304464,0.6561679790026247,True
2018-07,6292,6159,1058728.03,4.263006242996639,694,6247,6156.0,276.0,90.0,8.958624106562704,7.5,-10.731461988304094,168.2657390336936,11.109332479590202,4.483430799220272,1.461988304093567,True
2018-08,6512,6351,1003308.47,4.256129529683886,709,6485,6351.0,660.0,82.0,7.73274602424815,7.01,-7.453511258069596,154.070710995086,10.932922127987664,10.392064241851678,1.291135254290663,True
2018-09,16,0,166.46,1.8,12,15,,,,,,,10.40375,80.0,,,False
2018-10,4,0,0.0,2.25,3,4,,,,,,,0.0,75.0,,,False
