delay_bucket,order_count,mean_delay_days,median_delay_days,mean_delivery_duration,mean_review_score,low_review_count,total_gmv,share_of_orders_pct,low_review_rate_pct,share_of_low_reviews_pct
Early (>5d early),79775,-14.174132121591976,-13.17,10.431854591037292,4.309953753292085,7155,12766624.33,82.69410179330362,8.968975242870574,58.303455019556715
On-Time (0-5d early),8875,-2.5198918309859155,-2.45,14.958198309859156,4.151497957330912,975,1301212.69,9.199751217995232,10.985915492957748,7.944915254237288
Minor Delay (1-3d late),2660,1.4077932330827068,1.05,21.080056390977443,3.763477600607441,506,418304.67,2.757333886182233,19.022556390977442,4.123207301173403
Moderate Delay (4-7d late),1819,5.128570643210556,4.95,26.69360637713029,2.3158488437676255,1087,325046.94,1.8855602778065719,59.75810885101704,8.857561929595828
Severe Delay (>7d late),3341,18.461056569889255,13.71,42.47406465130201,1.7259852216748768,2549,607206.2,3.4632528247123457,76.29452259802454,20.770860495436764
