dominant_seller,order_count,total_gmv,seller_state,mean_freight,mean_review,low_review_rate,eligible_deliveries,late_delivery_rate,mean_delay_days,late_rate_pct,low_review_rate_pct,statistically_reliable
3c4e0452bff7a2a788179488d3d77032,32,4352.52,PR,18.94125,3.838709677419355,0.1875,32,0.03125,-14.6996875,3.125,18.75,True
3c7c4a49ec3c6550809089c6a2ca9370,138,5736.42,SP,12.606304347826088,3.6594202898550723,0.2826086956521739,136,0.08088235294117652,-8.516397058823529,8.088235294117652,28.26086956521739,True
3c88ed2e76a2247933a15daa7161eb1c,1,306.2,SP,151.2,5.0,0.0,1,0.0,-8.19,0.0,0.0,False
3ca08eeb8d5595949fed424bd3677742,14,2235.1,PR,33.30214285714286,4.428571428571429,0.07142857142857142,13,0.0,-13.673076923076923,0.0,7.142857142857142,False
3cfa1358a6caa965278721344c8d76f2,5,3221.5299999999997,SP,16.25,4.8,0.0,5,0.0,-15.212,0.0,0.0,False
3d01d1c414c44b5943a09619ff3853cb,5,569.01,SP,21.284,3.8,0.2,4,0.0,-13.15,0.0,20.0,False
3d0cd21d41671c46f82cd11176bf7277,9,694.78,SC,24.555555555555557,4.666666666666667,0.0,9,0.0,-12.324444444444445,0.0,0.0,False
3d2400ac620cffa23ac81bd192f7f555,1,113.9,SP,8.9,5.0,0.0,1,0.0,-0.08,0.0,0.0,False
3d2531eccfbde1d7c8db7a3a12fb267a,10,2212.6,MG,21.306,4.222222222222222,0.1,10,0.0,-13.241,0.0,10.0,False
3d290fe363c60a77498c1126fd3fb8d3,3,234.04,SP,11.686666666666667,4.333333333333333,0.0,3,0.0,-12.146666666666667,0.0,0.0,False
3d39fbf22a665714baf62fae36029e23,8,2634.83,SP,16.32875,4.75,0.0,8,0.0,-12.7,0.0,0.0,False
3d3ccf2b2f8134b10dce9dd446f0e075,3,750.53,SP,47.31,3.3333333333333335,0.3333333333333333,3,0.33333333333333337,-3.9566666666666674,33.333333333333336,33.33333333333333,False
3d4824f20035949c710eaf111f869d39,8,1274.27,SP,24.295,4.0,0.25,7,0.1428571428571429,-17.574285714285715,14.28571428571429,25.0,False
3d49bfdd1b43a7fe169b3740067acc61,3,276.82,MG,20.606666666666666,4.666666666666667,0.0,3,0.0,-19.540000000000003,0.0,0.0,False
3d4b1ae7539303b5704493798893e82c,6,1221.69,SP,24.281666666666666,4.833333333333333,0.0,6,0.0,-10.311666666666666,0.0,0.0,False
3d5d0dc7073a299e31fa718ce1bc00b6,23,1178.1299999999999,RJ,16.844782608695652,4.304347826086956,0.17391304347826086,21,0.09523809523809523,-13.044285714285715,9.523809523809524,17.391304347826086,False
3d621842b2ed28e2b474132480edac3c,10,1080.7,SP,15.178999999999998,3.9,0.2,8,0.0,-11.13375,0.0,20.0,False
3d62f86afa7c73be2628a3be1423f5a0,2,54.42,SP,21.21,4.0,0.0,2,0.0,-20.365000000000002,0.0,0.0,False
3d68c634a99a1ba46dbca3967a69c623,2,857.7,SC,131.85,5.0,0.0,2,0.0,-6.725,0.0,0.0,False
3d700782d7818f2c1e0d7a9e9d75fc00,3,235.11,SP,28.47,3.6666666666666665,0.3333333333333333,3,0.33333333333333337,-1.92,33.333333333333336,33.33333333333333,False
