delay_stratum,orders,gmv,mean_review_score,low_reviews,low_review_rate,order_share_pct,gmv_share_pct,dissatisfaction_share_pct
Early (>0.5d early),86893,13797718.74,4.296260918601038,7986,9.19061374333951,90.67978794456504,90.24029987273249,65.07496740547587
On-Time (0-0.5d early),1276,181090.2,4.148119122257054,144,11.285266457680251,1.3316079479044916,1.1843721603512771,1.1734028683181226
Minor Late (1-3d late),2634,413968.14,3.763477600607441,506,19.21032649962035,2.748789447320087,2.707448223528385,4.123207301173403
Moderate Late (4-7d late),1773,307447.43,2.3158488437676255,1087,61.30851663846588,1.850267156453498,2.010777926489385,8.857561929595828
Severe Late (>7d late),3248,589749.88,1.7259852216748768,2549,78.47906403940887,3.389547503756887,3.857101816898465,20.770860495436764
