dataset,column,total_rows,null_count,null_pct,min_timestamp,max_timestamp,inferred_type
olist_orders_dataset.csv,order_purchase_timestamp,99441,0,0.0,2016-09-04 21:15:19,2018-10-17 17:30:18,datetime64[ns]
olist_orders_dataset.csv,order_approved_at,99441,160,0.1609,2016-09-15 12:16:38,2018-09-03 17:40:06,datetime64[ns]
olist_orders_dataset.csv,order_delivered_carrier_date,99441,1783,1.793,2016-10-08 10:34:01,2018-09-11 19:48:28,datetime64[ns]
olist_orders_dataset.csv,order_delivered_customer_date,99441,2965,2.9817,2016-10-11 13:46:32,2018-10-17 13:22:46,datetime64[ns]
olist_orders_dataset.csv,order_estimated_delivery_date,99441,0,0.0,2016-09-30 00:00:00,2018-11-12 00:00:00,datetime64[ns]
olist_order_items_dataset.csv,shipping_limit_date,112650,0,0.0,2016-09-19 00:15:34,2020-04-09 22:35:08,datetime64[ns]
olist_order_reviews_dataset.csv,review_creation_date,99224,0,0.0,2016-10-02 00:00:00,2018-08-31 00:00:00,datetime64[ns]
olist_order_reviews_dataset.csv,review_answer_timestamp,99224,0,0.0,2016-10-07 18:32:28,2018-10-29 12:27:35,datetime64[ns]
